"","Species.Status","Nearest.native","MinDist.Nearest.native","MeanDist.NativeCommunity","Nearest.invasive","MinDist.Nearest.invasive","MeanDist.InvasiveCommunity"
"Asparagus_officinalis","i",".Maianthemum_dilatatum.Maianthemum_racemosum","65.827239","391.011282473451","Narcissus_pseudonarcissus","142.436535","352.191157604317"
"Camassia_leichtlinii","n","Camassia_quamash","7.2117","392.196031373333","Asparagus_officinalis","80.133812","350.24789085"
"Camassia_quamash","n","Camassia_leichtlinii","7.2117","392.196031373333","Asparagus_officinalis","80.133812","350.24789085"
"Triteleia_grandiflora","n","Triteleia_hyacinthina","20.39129","392.107220528889","Asparagus_officinalis","89.343376","350.31367345"
"Triteleia_hyacinthina","n","Triteleia_grandiflora","20.39129","392.107220528889","Asparagus_officinalis","89.343376","350.31367345"
"Brodiaea_coronaria","n",".Triteleia_grandiflora.Triteleia_hyacinthina","37.762218","392.184424653333","Asparagus_officinalis","89.343376","350.31367345"
"Allium_acuminatum","n","Allium_cernuum","17.194274","393.502108173333","Narcissus_pseudonarcissus","101.80438","350.402679635714"
"Allium_cernuum","n","Allium_acuminatum","17.194274","393.502108173333","Narcissus_pseudonarcissus","101.80438","350.402679635714"
"Narcissus_pseudonarcissus","i",".Allium_acuminatum.Allium_cernuum","101.80438","392.585791261062","Asparagus_officinalis","142.436535","352.191156611511"
"Olsynium_douglasii","n",".Allium_acuminatum.Allium_cernuum.Maianthemum_dilatatum.Maianthemum_racemosum","195.750014","395.95433084","Iris_germanica","80.403986","350.63063025"
"Iris_germanica","i","Olsynium_douglasii","80.403986","394.558090376106","Narcissus_pseudonarcissus","195.750014","352.574706827338"
"Listera_cordata","n",".Calypso_bulbosa.Corallorhiza_maculata","76.726812","395.651444386667","Epipactis_helleborine","56.85754","351.23488935"
"Epipactis_helleborine","i","Listera_cordata","56.85754","394.152356314159",".Iris_germanica.Narcissus_pseudonarcissus","249.821374","353.352712007194"
"Calypso_bulbosa","n","Corallorhiza_maculata","59.7997","395.576212777778","Epipactis_helleborine","76.726812","351.376812721429"
"Corallorhiza_maculata","n","Calypso_bulbosa","59.7997","395.576212777778","Epipactis_helleborine","76.726812","351.376812721429"
"Goodyera_oblongifolia","n","Spiranthes_romanzoffiana","63.156024","395.896877675556","Epipactis_helleborine","145.52009","351.868193278571"
"Spiranthes_romanzoffiana","n","Goodyera_oblongifolia","63.156024","395.896877675556","Epipactis_helleborine","145.52009","351.868193278571"
"Fritillaria_affinis","n","Lilium_columbianum","18.888602","398.910413906667",".Vulpia_bromoides.Vulpia_myuros","269.730772","355.373155878571"
"Lilium_columbianum","n","Fritillaria_affinis","18.888602","398.910413906667",".Vulpia_bromoides.Vulpia_myuros","269.730772","355.373155878571"
"Erythronium_oregonum","n",".Fritillaria_affinis.Lilium_columbianum","72.661132","399.149402928889",".Vulpia_bromoides.Vulpia_myuros","269.730772","355.373155878571"
"Phyllospadix_scouleri","n","Zostera_marina","117.971738","409.979365213333","Vulpia_bromoides","316.684152","366.776119592857"
"Zostera_marina","n","Phyllospadix_scouleri","117.971738","409.979365213333","Vulpia_bromoides","316.684152","366.776119592857"
"Triglochin_maritima","n",".Phyllospadix_scouleri.Zostera_marina","189.79982","410.298601133333",".Vulpia_bromoides.Vulpia_myuros","316.684152","366.776119592857"
"Lemna_turionifera","n",".Phyllospadix_scouleri.Triglochin_maritima.Zostera_marina","290.260754","411.191587213333",".Vulpia_bromoides.Vulpia_myuros","316.684152","366.776119592857"
"Pseudotsuga_menziesii","n","Pinus_contorta","56.247242","706.820099088889",".Barbarea_vulgaris.Geranium_carolinianum.Geranium_dissectum.Geranium_molle.Geranium_robertianum","704.469353","704.469354878571"
"Pinus_contorta","n","Pseudotsuga_menziesii","56.247242","706.820099088889",".Barbarea_vulgaris.Geranium_carolinianum.Geranium_dissectum.Geranium_molle.Geranium_robertianum","704.469353","704.469354878571"
"Picea_sitchensis","n",".Pinus_contorta.Pseudotsuga_menziesii","70.64329","706.884081524444",".Barbarea_vulgaris.Geranium_carolinianum.Geranium_dissectum.Geranium_molle.Geranium_robertianum","704.469353","704.469354878571"
"Tsuga_heterophylla","n","Abies_grandis","73.774402","707.011859391111",".Barbarea_vulgaris.Geranium_carolinianum.Geranium_dissectum.Geranium_molle.Geranium_robertianum","704.469352","704.469353878571"
"Abies_grandis","n","Tsuga_heterophylla","73.774402","707.011859391111",".Barbarea_vulgaris.Geranium_carolinianum.Geranium_dissectum.Geranium_molle.Geranium_robertianum","704.469352","704.469353878571"
"Thuja_plicata","n","Taxus_brevifolia","180.730168","713.497622831111",".Geranium_carolinianum.Geranium_dissectum.Geranium_molle","704.469352","704.469353878571"
"Taxus_brevifolia","n","Thuja_plicata","180.730168","713.497622831111",".Geranium_carolinianum.Geranium_dissectum.Geranium_molle","704.469352","704.469353878571"
"Polypodium_glycyrrhiza","n","Polypodium_hesperium","14.815788","886.614231035556",".Geranium_carolinianum.Geranium_dissectum.Geranium_molle","915.430737","915.430738878571"
"Polypodium_hesperium","n","Polypodium_glycyrrhiza","14.815788","886.614231035556",".Geranium_carolinianum.Geranium_dissectum.Geranium_molle","915.430737","915.430738878571"
"Dryopteris_expansa","n","Polystichum_munitum","84.046562","886.921923364444",".Geranium_carolinianum.Geranium_dissectum.Geranium_molle","915.430737","915.430738878571"
"Polystichum_munitum","n","Dryopteris_expansa","84.046562","886.921923364444",".Geranium_carolinianum.Geranium_dissectum.Geranium_molle","915.430737","915.430738878571"
"Athyrium_filix_femina","n","Cystopteris_fragilis","134.364004","887.503018111111",".Geranium_carolinianum.Geranium_dissectum.Geranium_molle","915.430737","915.430738878571"
"Cystopteris_fragilis","n","Athyrium_filix_femina","134.364004","887.503018111111",".Geranium_carolinianum.Geranium_dissectum.Geranium_molle","915.430737","915.430738878571"
"Asplenium_trichomanes","n",".Athyrium_filix_femina.Cystopteris_fragilis.Dryopteris_expansa.Polypodium_glycyrrhiza.Polypodium_hesperium.Polystichum_munitum","197.46981","888.221925871111",".Geranium_carolinianum.Geranium_dissectum.Geranium_molle","915.430737","915.430738878571"
"Pteridium_aquilinum","n",".Asplenium_trichomanes.Dryopteris_expansa.Polypodium_glycyrrhiza.Polypodium_hesperium.Polystichum_munitum","267.355129","890.085535346667",".Geranium_carolinianum.Geranium_dissectum.Geranium_molle","915.430738","915.430739878571"
"Aspidotis_densa","n","Pentagramma_triangularis","60.04392","891.279772244444",".Geranium_carolinianum.Geranium_dissectum.Geranium_molle","915.430738","915.430739878571"
"Pentagramma_triangularis","n","Aspidotis_densa","60.04392","891.279772244444",".Geranium_carolinianum.Geranium_dissectum.Geranium_molle","915.430738","915.430739878571"
"Equisetum_arvense","n","Equisetum_hyemale","48.12607","903.429071542222",".Geranium_carolinianum.Geranium_dissectum.Geranium_molle","915.430739","915.430740878571"
"Equisetum_hyemale","n","Equisetum_arvense","48.12607","903.429071542222",".Geranium_carolinianum.Geranium_dissectum.Geranium_molle","915.430739","915.430740878571"
"Equisetum_telmateia","n",".Equisetum_arvense.Equisetum_hyemale","85.037617","903.593121871111",".Geranium_carolinianum.Geranium_dissectum.Geranium_molle","915.430738","915.430739878571"
"Selaginella_wallacei","n",".Barbarea_orthoceras.Festuca_rubra.Vulpia_microstachys","1304.204008","1304.20400999556",".Barbarea_vulgaris.Vulpia_bromoides.Vulpia_myuros","1304.204008","1304.20400987857"
