Row.names,Status,Habit,woodiness,sla,leafletSize,seedMass,leafN,maxHeight
Sanicula_crassicaulis,n,p,NA,NA,NA,4.662492388,NA,1.2
Sarcocornia_perennis,n,p,NA,NA,NA,4.851536994,NA,NA
Satureja_douglasii,n,p,H,NA,NA,NA,NA,NA
Saxifraga_caespitosa,n,p,NA,NA,NA,NA,NA,NA
Scorzoneroides_autumnalis,i,p,H,258.2912126,1.120193432,0.694395374,2.142405648,NA
Sedum_album,i,p,NA,183.5043747,0.224399626,0.032938388,NA,0.2
Sedum_lanceolatum,n,p,NA,NA,NA,0.080672425,NA,0.25
Sedum_spathulifolium,n,p,NA,NA,NA,NA,NA,NA
Selaginella_wallacei,n,p,H,NA,NA,NA,NA,NA
Senecio_sylvaticus,i,a,W,295,53.36,0.262825591,NA,0.8
Senecio_vulgaris,i,a,H,302.5704943,3.320963716,0.217471783,NA,0.495
Shepherdia_canadensis,n,s,NA,NA,NA,8.88606731,NA,2
Sherardia_arvensis,i,a,NA,221.2662107,0.081240384,1.554623388,NA,NA
Silene_antirrhina,i,s,H,NA,NA,0.076307285,NA,0.8
Silene_coronaria,i,s,NA,NA,NA,NA,NA,NA
Silene_gallica,i,s,NA,339.4001015,4.38533352,0.330994005,NA,0.5
Silene_menziesii,n,s,H,NA,NA,0.245295088,NA,0.7
Silene_scouleri,n,s,W,NA,NA,0.2956,NA,0.8
Sinapis_arvensis,i,a,H,321.3794661,70.9516735,1.632358497,NA,0.666666667
Solanum_dulcamara,i,p,NA,310.8730142,13.56651386,2.773823092,3.98873037,3
Solidago_lepida,n,p,H,NA,NA,NA,NA,NA
Soliva_sessilis,i,a,H,NA,NA,0.938798109,NA,NA
Sonchus_arvensis,i,p,H,212.3101594,49.94287684,0.465857556,NA,2
Sonchus_asper,i,p,H,246.2412424,50.59968119,0.272022164,3.29,1.2
Sonchus_oleraceus,i,p,W,348.5341287,39.79099623,0.31684064,2.882149565,1.2
Sorbus_aucuparia,i,s,NA,155.2289308,6.168301951,4.354886292,2.054011683,1.466037513
Sorbus_hybrida,i,s,W,NA,NA,NA,NA,NA
Sorbus_intermedia,i,s,NA,174.1614695,52.7809303,26.12212565,NA,7.2
Spergularia_canadensis,n,p,NA,NA,NA,NA,NA,NA
Spergularia_macrotheca,n,p,H,NA,NA,0.094630274,NA,0.45
Spergularia_rubra,i,a,NA,153.1571714,0.091651514,0.042786997,2.71,0.3
Spergularia_salina,n,p,H,NA,NA,NA,NA,NA
Spiranthes_romanzoffiana,n,p,NA,NA,NA,0.0013759,NA,0.5
